country,arrivals,we_ctry,we_visit,na_ctry,na_visit,sea_ctry,sea_visit,ea_ctry,ea_visit,wa_ctry,wa_visit,ee_ctry,ee_visit,aus_ctry,aus_visit
afg,153905,austria,32332,canada,351859,indnsia,50177,china,339442,bhrn,124120,czrep,13290,aus,367241
bgdesh,2256675,belg,39263,us,1512032,mlysa,334579,jpn,238903,iraq,2577727,hgry,9788,nzld,6551
bhutan,26470,dnmk,26492,others,237965,mmr,86842,rok,149445,isrl,28178,kzkstn,15709,others,6147
iran,35596,fnld,18945,,,phl,56393,twn,48195,oman,33288,poland,33687,,
maldives,62337,frc,247238,,,sgp,190089,,,sdarabia,78587,russia,251319,,
nepal,174096,ger,264973,,,thai,169956,,,tur,164040,ukraine,29468,,
pak,41659,grec,10317,,,vtm,33636,,,uae,55413,,,,
srilanka,353684,ire,41183,,,,,,,ymn,26065,,,,
,,ity,128572,,,,,,,,,,,,
,,nether,80313,,,,,,,,,,,,
,,nrw,21898,,,,,,,,,,,,
,,prtgl,74743,,,,,,,,,,,,
,,spain,83322,,,,,,,,,,,,
,,sdn,42318,,,,,,,,,,,,
,,swtzr,46826,,,,,,,,,,,,
,,uk,1000292,,,,,,,,,,,,
